Rank,Provinces,GDP,GDP,Growth,Real,Share
,,(CN?),(US$),at current,growth,(%)
,,,,prices (%),(%),
,China (Mainland),"121,020.72","17,992.70",5.3,3,100
1,Guangdong,"12,911.86","1,919.67",3.5,1.9,10.67
2,Jiangsu,"12,287.56","1,826.85",4.7,2.8,10.15
3,Shandong,"8,743.51","1,299.94",5.5,3.9,7.22
4,Zhejiang,"7,771.54","1,155.43",5,3.1,6.42
5,Henan,"6,134.51",912.05,5.6,3.1,5.07
6,Sichuan,"5,674.98",843.73,4.9,2.9,4.69
7,Hubei,"5,373.49",798.9,7.3,4.3,4.44
8,Fujian,"5,310.99",789.61,7.1,4.7,4.39
9,Hunan,"4,867.04",723.61,6.5,4.5,4.02
10,Anhui,"4,504.50",669.7,5.8,3.5,3.72
11,Shanghai,"4,465.28",663.87,2.3,-0.2,3.69
12,Hebei,"4,237.04",629.94,4.9,3.8,3.5
13,Beijing,"4,161.10",618.65,1.4,0.7,3.44
14,Shaanxi,"3,277.27",487.25,8.8,4.3,2.71
15,Jiangxi,"3,207.47",476.87,7.5,4.7,2.65
16,Chongqing,"2,912.90",433.07,3.7,2.6,2.41
17,Liaoning,"2,897.51",430.79,5.1,2.1,2.39
18,Yunnan,"2,895.42",430.48,6.6,4.3,2.39
19,Guangxi,"2,630.09",391.03,4.3,2.9,2.17
20,Shanxi,"2,564.26",381.24,12.1,4.4,2.12
21,Inner Mongolia,"2,315.87",344.31,9.4,4.2,1.91
22,Guizhou,"2,016.46",299.8,3.6,1.2,1.67
23,Xinjiang,"1,774.13",263.77,8.8,3.2,1.47
24,Tianjin,"1,631.13",242.51,4,1,1.35
25,Heilongjiang,"1,590.10",236.41,7,2.7,1.31
26,Jilin,"1,307.02",194.32,-0.7,-1.9,1.08
27,Gansu,"1,120.16",166.54,9.5,4.5,0.93
28,Hainan,681.82,101.37,4.8,0.2,0.56
29,Ningxia,506.96,75.37,10.5,4,0.42
30,Qinghai,361.01,53.67,6.6,2.3,0.3
31,Tibet,213.26,31.71,2.5,1.1,0.18
