,YEAR,GDP growth,Inflation rate,Implied PPP conversion rate,Population,Unemployment rate,DEBT (% of GDP) General government gross debt,,,
0,1980,7.9,2,1.5,987.05,4.90%,0.97,,,
1,1981,5.1,2.5,1.413,1000.72,3.80%,0.97,,,
2,1982,9,2,1.336,1016.54,3.20%,0.97,,,
3,1983,10.8,2,1.3,1030.08,2.30%,0.97,,,
4,1984,15.2,2.7,1.316,1043.57,1.90%,0.97,,,
5,1985,13.5,9.3,1.404,1058.51,1.80%,3.31,,,
6,1986,8.9,6.5,1.442,1075.07,2.00%,3.24,,,
7,1987,11.7,7.3,1.479,1093,2.00%,3.6,,,
8,1988,11.2,18.8,1.602,1110.26,2.00%,4.46,,,
9,1989,4.2,18,1.678,1127.04,2.60%,6.5,,,
10,1990,3.9,3.1,1.712,1143.33,2.50%,6.95,,,
11,1991,9,3.4,1.762,1158.23,4.90%,7.43,,,
12,1992,14.3,6.4,1.859,1171.71,4.39%,4.98,,,
13,1993,13.9,14.8,2.091,1185.17,4.33%,6.71,,,
14,1994,13,24.3,2.465,1198.5,2.90%,6.14,,,
15,1995,11,16.8,2.743,1211.21,3.00%,21.619,,,
16,1996,9.9,8.3,2.872,1223.89,3.12%,21.425,,,
17,1997,9.2,2.8,2.869,1236.26,3.23%,20.605,,,
18,1998,7.9,-0.8,2.808,1247.61,3.24%,20.664,,,
19,1999,7.7,-1.4,2.733,1257.86,3.25%,21.863,,,
20,2000,8.5,0.4,2.729,1267.43,3.26%,22.987,,,
21,2001,8.3,0.7,2.725,1276.27,3.80%,24.575,,,
22,2002,9.1,-0.7,2.703,1284.53,4.24%,25.916,,,
23,2003,10,1.1,2.723,1292.27,4.58%,26.8,,,
24,2004,10.1,3.8,2.833,1299.88,4.49%,26.393,,,
25,2005,11.4,1.8,2.868,1307.56,4.52%,26.312,,,
26,2006,12.7,1.6,2.889,1314.48,4.43%,25.568,,,
27,2007,14.2,4.8,3.033,1321.29,4.35%,29.164,,,
28,2008,9.6,5.9,3.193,1328.02,4.59%,27.159,,,
29,2009,9.4,-0.7,3.168,1334.5,4.72%,34.567,,,
30,2010,10.6,3.2,3.326,1340.91,4.53%,33.924,,,
31,2011,9.6,5.5,3.524,1349.16,4.55%,33.772,,,
32,2012,7.8,2.6,3.561,1359.22,4.58%,34.393,,,
33,2013,7.8,2.6,3.664,1367.26,4.60%,37.035,,,
34,2014,7.4,2.1,3.759,1376.46,4.63%,39.969,,,
35,2015,7,1.5,3.871,1383.26,4.65%,41.489,,,
36,2016,6.9,2.1,3.989,1392.32,4.56%,50.701,,,
37,2017,6.9,1.5,4.184,1400.11,4.47%,54.951,,,
38,2018,6.8,1.9,4.228,1405.41,4.31%,56.659,,,
39,2019,6,2.9,4.241,1410.08,4.56%,60.404,,,
40,2020,2.2,2.5,4.239,1412.12,5.00%,70.137,,,
41,2021,8.4,0.9,4.177,1412.6,4.55%,71.836,,,
42,2022,3,1.9,3.988,1411.75,4.89%,76.98,,,
43,2023,5,0.7,3.809,1411.397,5.05%,77.98,,,
44,2024,4.2,1.7,3.791,1410.776,5.10%,78.98,,,
45,2025,4.1,2.2,3.782,1409.817,5.16%,79.98,,,
46,2026,4.1,2.2,3.785,1408.534,5.22%,80.98,,,
47,2027,3.7,2.2,3.796,1406.942,5.27%,81.98,,,
48,2028,3.4,2.2,3.809,1405.043,5.33%,,,,
